ააგო	ɑ ɑ ɡ ɔ
ალექსანდრე	ɑ l ɛ kʰ s ɑ n d r ɛ
ალექსანდრია	ɑ l ɛ kʰ s ɑ n d r ɪ ɑ
ალიბი	ɑ l ɪ b ɪ
ალკოჰოლი	ɑ l kʼ ɔ h ɔ l i
ალკოჰოლური	ɑ l kʼ ɔ h ɔ l u r ɪ
ალტერნატივა	ɑ l tʼ ɛ r n ɑ tʼ ɪ v ɑ
ალტერნატიულად	ɑ l tʼ ɛ r n ɑ tʼ ɪ u l ɑ d
ალტერნატიული	ɑ l tʼ ɛ r n ɑ tʼ ɪ u l ɪ
ალღო	ɑ l ʁ ɔ
ალყა	ɑ l qʼ ɑ
ამ	ɑ m
ამართლებს	ɑ m ɑ r tʰ l ɛ b s
ამასთან	ɑ m ɑ s tʰ ɑ n
ამატებს	ɑ m ɑ tʼ ɛ b s
ამაღელვებელი	ɑ m ɑ ɣ ɛ l v ɛ b ɛ l i
ამაყი	ɑ m ɑ qʼ i
ამაში	ɑ m ɑ ʃ ɪ
ამბავი	ɑ m b ɑ v i
ამბიცია	ɑ m b ɪ t s ɪ ɑ
ამბობს	ɑ m b ɔ b s
ამდენად	ɑ m d ɛ n ɑ d
ამერიკა	ɑ m ɛ r i kʼ ɑ
ამერიკას	ɑ m ɛ r ɪ kʼ ɑ s
ამერიკის	ɑ m ɛ r ɪ kʼ ɪ s
ამერიკული	ɑ m ɛ r ɪ kʼ u l ɪ
ამთავრებს	ɑ m tʰ ɑ v r ɛ b s
ამით	ɑ m ɪ tʰ
ამინდი	ɑ m i n d i
ამიტომ	ɑ m ɪ tʼ ɔ m
ამნისტია	ɑ m n ɪ s tʼ ɪ ɑ
ამოზნექილი	ɑ m ɔ z n ɛ kʰ i l i
ამომწურავად	ɑ m ɔ m t sʼ u r ɑ v ɑ d
ამომწურავი	ɑ m ɔ m t sʼ u r ɑ v ɪ
ამორალური	ɑ m ɔ r ɑ l u r ɪ
ამპუტაცია	ɑ m pʼ u tʼ ɑ t s ɪ ɑ
ამჟამად	ɑ m ʒ ɑ m ɑ d
ამსტერდამი	ɑ m s tʼ ɛ r d ɑ m i
ამუშავებს	ɑ m u ʃ ɑ v ɛ b s
ამუხრუჭებს	ɑ m u x r u t ʃʼ ɛ b s
ამძიმებს	ɑ m d z i m ɛ b s
ან	ɑ n
ანა	ɑ n ɑ
ანალიზი	ɑ n ɑ l ɪ z ɪ
ანალიტიკოსი	ɑ n ɑ l ɪ tʼ ɪ kʼ ɔ s ɪ
ანალოგი	ɑ n ɑ l ɔ ɡ ɪ
ანალოგია	ɑ n ɑ l ɔ ɡ ɪ ɑ
ანალოგიურად	ɑ n ɑ l ɔ ɡ ɪ u r ɑ d
ანალოგიური	ɑ n ɑ l ɔ ɡ i u r i
ანატომიურად	ɑ n ɑ tʼ ɔ m ɪ u r ɑ d
ანგარიშვალდებულება	ɑ n ɡ ɑ r i ʃ v ɑ l d ɛ b u l ɛ b ɑ
ანგარიში	ɑ n ɡ ɑ r i ʃ i
ანექსია	ɑ n ɛ kʰ s ɪ ɑ
ანთებითი	ɑ n tʰ ɛ b ɪ tʰ ɪ
ანთებული	ɑ n tʰ ɛ b u l ɪ
ანონსი	ɑ n ɔ n s ɪ
ანოტაცია	ɑ n ɔ tʼ ɑ t s ɪ ɑ
ანტიკვარული	ɑ n tʼ ɪ kʼ v ɑ r u l ɪ
ანტიკური	ɑ n tʼ i kʼ u r i
ანტონი	ɑ n tʼ ɔ n i
აპარატი	ɑ pʼ ɑ r ɑ tʼ ɪ
აპარატით	ɑ pʼ ɑ r ɑ tʼ ɪ tʰ
აპარატის	ɑ pʼ ɑ r ɑ tʼ ɪ s
აპარატმა	ɑ pʼ ɑ r ɑ tʼ m ɑ
აპარატს	ɑ pʼ ɑ r ɑ tʼ s
აპირებს	ɑ pʼ i r ɛ b s
აპლიკაცია	ɑ pʼ l i kʼ ɑ t s i ɑ
აპოკალიფსი	ɑ pʼ ɔ kʼ ɑ l ɪ pʰ s ɪ
აპრილით	ɑ pʼ r ɪ l ɪ tʰ
აპრილის	ɑ pʼ r ɪ l ɪ s
აპრიორი	ɑ pʼ r ɪ ɔ r ɪ
არ	ɑ r
არა	ɑ r ɑ
არაარსებითი	ɑ r ɑ ɑ r s ɛ b ɪ tʰ ɪ
არაბი	ɑ r ɑ b i
არაბული	ɑ r ɑ b u l i
არადა	ɑ r ɑ d ɑ
არადამაჯერებლად	ɑ r ɑ d ɑ m ɑ d ʒ ɛ r ɛ b l ɑ d
არაეთიკური	ɑ r ɑ ɛ tʰ ɪ kʼ u r ɪ
არაერთხელ	ɑ r ɑ ɛ r tʰ χ ɛ l
არავითარი	ɑ r ɑ v i tʰ ɑ r i
არავინ	ɑ r ɑ v ɪ n
არათანაბარი	ɑ r ɑ tʰ ɑ n ɑ b ɑ r i
არაკონსტიტუციურად	ɑ r ɑ kʼ ɔ n s tʼ ɪ tʼ u t s ɪ u r ɑ d
არაკორექტულად	ɑ r ɑ kʼ ɔ r ɛ kʰ tʼ u l ɑ d
არანაირად	ɑ r ɑ n ɑ ɪ r ɑ d
არარეალურად	ɑ r ɑ r ɛ ɑ l u r ɑ d
არასაკმარისი	ɑ r ɑ s ɑ kʼ m ɑ r ɪ s ɪ
არასასურველი	ɑ r ɑ s ɑ s u r v ɛ l i
არასდროს	ɑ r ɑ s d r ɔ s
არასეზონურად	ɑ r ɑ s ɛ z ɔ n u r ɑ d
არასწორი	ɑ r ɑ s t sʼ ɔ r ɪ
არაფერი	ɑ r ɑ pʰ ɛ r i
არაფერს	ɑ r ɑ pʰ ɛ r s
არაფრის	ɑ r ɑ pʰ r i s
არაყი	ɑ r ɑ qʼ i
არაჩვეულებრივად	ɑ r ɑ t ʃ v ɛ u l ɛ b r ɪ v ɑ d
არაჩვეულებრივი	ɑ r ɑ t ʃ v ɛ u l ɛ b r ɪ v ɪ
არბილებს	ɑ r b i l ɛ b s
არბიტრი	ɑ r b ɪ tʼ r ɪ
არგუმენტაცია	ɑ r ɡ u m ɛ n tʼ ɑ t s ɪ ɑ
არენა	ɑ r ɛ n ɑ
არეული	ɑ r ɛ u l i
არეულობა	ɑ r ɛ u l ɔ b ɑ
არია	ɑ r ɪ ɑ
არიან	ɑ r ɪ ɑ n
არის	ɑ r i s
არისტოკრატი	ɑ r ɪ s tʼ ɔ kʼ r ɑ tʼ ɪ
არმია	ɑ r m ɪ ɑ
არმიამ	ɑ r m ɪ ɑ m
არმიას	ɑ r m ɪ ɑ s
არმიის	ɑ r m ɪ ɪ s
არომატი	ɑ r ɔ m ɑ tʼ i
არსად	ɑ r s ɑ d
არსება	ɑ r s ɛ b ɑ
არსებითად	ɑ r s ɛ b ɪ tʰ ɑ d
არსებითი	ɑ r s ɛ b i tʰ i
არსებობ	ɑ r s ɛ b ɔ b
არსებობა	ɑ r s ɛ b ɔ b ɑ
არსებული	ɑ r s ɛ b u l ɪ
არსენალი	ɑ r s ɛ n ɑ l ɪ
არტისტი	ɑ r tʼ ɪ s tʼ ɪ
არტისტული	ɑ r tʼ ɪ s tʼ u l ɪ
არქივი	ɑ r kʰ ɪ v ɪ
არჩევა	ɑ r t ʃ ɛ v ɑ
არჩევანი	ɑ r t ʃ ɛ v ɑ n ɪ
არჩევს	ɑ r t ʃ ɛ v s
არც	ɑ r t s
არცერთი	ɑ r t s ɛ r tʰ i
არწივი	ɑ r t sʼ i v i
არხი	ɑ r χ ɪ
ასაკი	ɑ s ɑ kʼ ɪ
ასაკოვანი	ɑ s ɑ kʼ ɔ v ɑ n ɪ
ასატანი	ɑ s ɑ tʼ ɑ n ɪ
ასახავს	ɑ s ɑ x ɑ v s
ასახელებს	ɑ s ɑ x ɛ l ɛ b s
ასეთი	ɑ s ɛ tʰ ɪ
ასლი	ɑ s l ɪ
ასო	ɑ s ɔ
ასოციაცია	ɑ s ɔ t s ɪ ɑ t s ɪ ɑ
ასტროლოგი	ɑ s tʼ r ɔ l ɔ ɡ ɪ
ასუსტებს	ɑ s u s tʼ ɛ b s
ასფალტი	ɑ s pʰ ɑ l tʼ ɪ
ატამი	ɑ tʼ ɑ m i
ატარებს	ɑ tʼ ɑ r ɛ b s
ატაშე	ɑ tʼ ɑ ʃ ɛ
ატენიანებს	ɑ tʼ ɛ n i ɑ n ɛ b s
ატმოსფერო	ɑ tʼ m ɔ s pʰ ɛ r ɔ
ატმოსფერული	ɑ tʼ m ɔ s pʰ ɛ r u l ɪ
ატომური	ɑ tʼ ɔ m u r ɪ
აუ	ɑ u
აუდიტორია	ɑ u d ɪ tʼ ɔ r ɪ ɑ
აუზის	ɑ u z ɪ s
აუქციონი	ɑ u kʰ t s ɪ ɔ n ɪ
აუჩქარებლად	ɑ u t ʃ kʰ ɑ r ɛ b l ɑ d
აუცილებელი	ɑ u t s ɪ l ɛ b ɛ l ɪ
აუცილებლად	ɑ u t s i l ɛ b l ɑ d
აუცილებლობა	ɑ u t s ɪ l ɛ b l ɔ b ɑ
აფეთქება	ɑ pʰ ɛ tʰ kʰ ɛ b ɑ
აფთიაქი	ɑ pʰ tʰ i ɑ kʰ i
აფიშა	ɑ pʰ ɪ ʃ ɑ
აფხაზეთი	ɑ pʰ x ɑ z ɛ tʰ i
აფხაზეთის	ɑ pʰ χ ɑ z ɛ tʰ ɪ s
აფხაზეთმა	ɑ pʰ χ ɑ z ɛ tʰ m ɑ
აფხაზი	ɑ pʰ x ɑ z i
აფხაზური	ɑ pʰ x ɑ z u r i
აქ	ɑ kʰ
აქეთ	ɑ kʰ ɛ tʰ
აქვს	ɑ kʰ v s
აქილევსი	ɑ kʰ ɪ l ɛ v s ɪ
აქტივისტი	ɑ kʰ tʼ ɪ v ɪ s tʼ ɪ
აქცია	ɑ kʰ t s i ɑ
აქციზი	ɑ kʰ t s ɪ z ɪ
აღარ	ɑ ʁ ɑ r
აღბეჭდილი	ɑ ʁ b ɛ t ʃʼ d ɪ l ɪ
აღგზნებული	ɑ ʁ ɡ z n ɛ b u l ɪ
აღზრდილი	ɑ ʁ z r d ɪ l ɪ
აღმოაჩინო	ɑ ɣ m ɔ ɑ t ʃ i n ɔ
აღმოსავლეთი	ɑ ɣ m ɔ s ɑ v l ɛ tʰ i
აღმოსავლური	ɑ ʁ m ɔ s ɑ v l u r ɪ
აღმოცენებული	ɑ ʁ m ɔ t s ɛ n ɛ b u l ɪ
აღნიშვნა	ɑ ʁ n ɪ ʃ v n ɑ
აღნიშნული	ɑ ɣ n i ʃ n u l i
აღსარება	ɑ ɣ s ɑ r ɛ b ɑ
აღტაცებული	ɑ ʁ tʼ ɑ t s ɛ b u l ɪ
აღქმადი	ɑ ʁ kʰ m ɑ d ɪ
აღჭურვილობა	ɑ ɣ t ʃʼ u r v i l ɔ b ɑ
აყალბებს	ɑ qʼ ɑ l b ɛ b s
აშენებს	ɑ ʃ ɛ n ɛ b s
აშინებს	ɑ ʃ i n ɛ b s
აშკარა	ɑ ʃ kʼ ɑ r ɑ
აშკარად	ɑ ʃ kʼ ɑ r ɑ d
აჩრდილი	ɑ t ʃ r d ɪ l ɪ
აჩუქებს	ɑ t ʃ u kʰ ɛ b s
აცხადებს	ɑ t s x ɑ d ɛ b s
აძლევს	ɑ d z l ɛ v s
აწარმოებს	ɑ t sʼ ɑ r m ɔ ɛ b s
ახალ	ɑ χ ɑ l
ახალგაზრდა	ɑ x ɑ l ɡ ɑ z r d ɑ
ახალგაზრდობა	ɑ x ɑ l ɡ ɑ z r d ɔ b ɑ
ახალგაზრდული	ɑ χ ɑ l ɡ ɑ z r d u l ɪ
ახალი	ɑ x ɑ l i
ახლა	ɑ x l ɑ
ახლად	ɑ χ l ɑ d
ახლანდელი	ɑ χ l ɑ n d ɛ l ɪ
ახლახან	ɑ χ l ɑ χ ɑ n
ახლებურად	ɑ χ l ɛ b u r ɑ d
ახლო	ɑ χ l ɔ
ახლობელი	ɑ χ l ɔ b ɛ l ɪ
ახლოს	ɑ χ l ɔ s
ახორციელებს	ɑ x ɔ r t s i ɛ l ɛ b s
ახსნილი	ɑ χ s n ɪ l ɪ
ახსოვს	ɑ x s ɔ v s
ბაბუა	b ɑ b u ɑ
ბადებს	b ɑ d ɛ b s
ბადრიჯანი	b ɑ d r i d ʒ ɑ n i
ბავშვები	b ɑ v ʃ v ɛ b i
ბავშვი	b ɑ v ʃ v i
ბავშვურად	b ɑ v ʃ v u r ɑ d
ბაზარი	b ɑ z ɑ r i
ბაზისი	b ɑ z ɪ s ɪ
ბაზრობა	b ɑ z r ɔ b ɑ
ბალანსი	b ɑ l ɑ n s ɪ
ბალახი	b ɑ l ɑ x i
ბალიში	b ɑ l ɪ ʃ ɪ
ბამბას	b ɑ m b ɑ s
ბამბის	b ɑ m b ɪ s
ბანალურად	b ɑ n ɑ l u r ɑ d
ბანკეტი	b ɑ n kʼ ɛ tʼ ɪ
ბანკი	b ɑ n kʼ ɪ
ბანკის	b ɑ n kʼ ɪ s
ბანკმა	b ɑ n kʼ m ɑ
ბანკს	b ɑ n kʼ s
ბანქო	b ɑ n kʰ ɔ
ბაჟი	b ɑ ʒ ɪ
ბარათი	b ɑ r ɑ tʰ i
ბარბარა	b ɑ r b ɑ r ɑ
ბართლომე	b ɑ r tʰ l ɔ m ɛ
ბარი	b ɑ r i
ბარიერი	b ɑ r ɪ ɛ r ɪ
ბარსელონა	b ɑ r s ɛ l ɔ n ɑ
ბატალიონი	b ɑ tʼ ɑ l ɪ ɔ n ɪ
ბატონი	b ɑ tʼ ɔ n i
ბაქტერიული	b ɑ kʰ tʼ ɛ r ɪ u l ɪ
ბაღი	b ɑ ɣ i
ბებია	b ɛ b i ɑ
ბეგი	b ɛ ɡ ɪ
ბედი	b ɛ d i
ბედნიერად	b ɛ d n ɪ ɛ r ɑ d
ბედნიერება	b ɛ d n ɪ ɛ r ɛ b ɑ
ბედნიერი	b ɛ d n ɪ ɛ r ɪ
ბევრი	b ɛ v r i
ბელგია	b ɛ l ɡ i ɑ
ბენზინი	b ɛ n z ɪ n ɪ
ბერი	b ɛ r i
ბერლინი	b ɛ r l i n i
ბერძენი	b ɛ r d z ɛ n i
ბეჭედი	b ɛ t ʃʼ ɛ d i
ბიბლია	b i b l i ɑ
ბიბლიოთეკა	b i b l i ɔ tʰ ɛ kʼ ɑ
ბიბლიოთეკარი	b ɪ b l ɪ ɔ tʰ ɛ kʼ ɑ r ɪ
ბილეთი	b i l ɛ tʰ i
ბილიკი	b i l i kʼ i
ბინა	b ɪ n ɑ
ბინადარი	b ɪ n ɑ d ɑ r ɪ
ბიოგრაფია	b ɪ ɔ ɡ r ɑ pʰ ɪ ɑ
ბიოლოგიური	b i ɔ l ɔ ɡ i u r i
ბირთვი	b i r tʰ v i
ბირთვული	b ɪ r tʰ v u l ɪ
ბირჟა	b i r ʒ ɑ
ბისკვიტი	b ɪ s kʼ v ɪ tʼ ɪ
ბიულეტენი	b ɪ u l ɛ tʼ ɛ n ɪ
ბიურო	b ɪ u r ɔ
ბიუჯეტი	b ɪ u d ʒ ɛ tʼ ɪ
ბიძა	b i d z ɑ
ბიძგი	b i d z ɡ i
ბიძინა	b ɪ d z ɪ n ɑ
ბიჭი	b i t ʃʼ i
ბლოგი	b l ɔ ɡ i
ბლოკადა	b l ɔ kʼ ɑ d ɑ
ბლოკი	b l ɔ kʼ ɪ
ბლუ	b l u
ბმული	b m u l i
ბმულის	b m u l ɪ s
ბმულს	b m u l s
ბნელი	b n ɛ l i
ბობოლა	b ɔ b ɔ l ɑ
ბოდიში	b ɔ d i ʃ i
ბოიკოტი	b ɔ ɪ kʼ ɔ tʼ ɪ
ბოლო	b ɔ l ɔ
ბოლოს	b ɔ l ɔ s
ბომბარდირები	b ɔ m b ɑ r d ɪ r ɛ b ɪ
ბომბარდირი	b ɔ m b ɑ r d ɪ r ɪ
ბომბი	b ɔ m b i
ბორბალი	b ɔ r b ɑ l i
ბოროტი	b ɔ r ɔ tʼ i
ბორტზე	b ɔ r tʼ z ɛ
ბორჯომი	b ɔ r d ʒ ɔ m i
ბოსტანი	b ɔ s tʼ ɑ n ɪ
ბოსტნეული	b ɔ s tʼ n ɛ u l ɪ
ბრაზი	b r ɑ z i
ბრაზილიური	b r ɑ z ɪ l ɪ u r ɪ
ბრალეული	b r ɑ l ɛ u l i
ბრიგადა	b r ɪ ɡ ɑ d ɑ
ბრინჯაო	b r i n d ʒ ɑ ɔ
ბრინჯი	b r i n d ʒ i
ბრიტანეთი	b r ɪ tʼ ɑ n ɛ tʰ ɪ
ბრიტანეთის	b r ɪ tʼ ɑ n ɛ tʰ ɪ s
ბრიტანეთს	b r ɪ tʼ ɑ n ɛ tʰ s
ბრიტანული	b r ɪ tʼ ɑ n u l ɪ
ბრმა	b r m ɑ
ბროკოლი	b r ɔ kʼ ɔ l ɪ
ბროლი	b r ɔ l i
ბრუნდება	b r u n d ɛ b ɑ
ბრუნვა	b r u n v ɑ
ბრძანდებით	b r d z ɑ n d ɛ b ɪ tʰ
ბრძანება	b r d z ɑ n ɛ b ɑ
ბრძენი	b r d z ɛ n i
ბრძნული	b r d z n u l ɪ
ბრძოლა	b r d z ɔ l ɑ
ბრძოლამ	b r d z ɔ l ɑ m
ბრძოლის	b r d z ɔ l ɪ s
ბრწყინვალე	b r t sʼ qʼ ɪ n v ɑ l ɛ
ბულგარეთი	b u l ɡ ɑ r ɛ tʰ i
ბულიონი	b u l ɪ ɔ n ɪ
ბუმი	b u m ɪ
ბუნებრივად	b u n ɛ b r ɪ v ɑ d
ბუნებრივი	b u n ɛ b r i v i
ბურჟუაზიული	b u r ʒ u ɑ z i u l i
ბურჯი	b u r d ʒ i
ბუქარესტი	b u kʰ ɑ r ɛ s tʼ i
გააგრძელებს	ɡ ɑ ɑ ɡ r d z ɛ l ɛ b s
გააკეთებს	ɡ ɑ ɑ kʼ ɛ tʰ ɛ b s
გაატარებს	ɡ ɑ ɑ tʼ ɑ r ɛ b s
გაატარეს	ɡ ɑ ɑ tʼ ɑ r ɛ s
გააფთრებული	ɡ ɑ ɑ pʰ tʰ r ɛ b u l ɪ
გააჩნია	ɡ ɑ ɑ t ʃ n i ɑ
გააცნობს	ɡ ɑ ɑ t s n ɔ b s
გაბაშვილი	ɡ ɑ b ɑ ʃ v i l i
გაბედულად	ɡ ɑ b ɛ d u l ɑ d
გაბედული	ɡ ɑ b ɛ d u l i
გაბნეული	ɡ ɑ b n ɛ u l i
გაბრაზებული	ɡ ɑ b r ɑ z ɛ b u l i
გაბრუებული	ɡ ɑ b r u ɛ b u l ɪ
გაბღენძილი	ɡ ɑ b ʁ ɛ n d z ɪ l ɪ
გაგებით	ɡ ɑ ɡ ɛ b ɪ tʰ
გაგრა	ɡ ɑ ɡ r ɑ
გადაიხადა	ɡ ɑ d ɑ ɪ χ ɑ d ɑ
გადაიხადოს	ɡ ɑ d ɑ ɪ χ ɑ d ɔ s
გადაიხდიან	ɡ ɑ d ɑ ɪ χ d ɪ ɑ n
გადაიხდის	ɡ ɑ d ɑ i x d i s
გადამდგარი	ɡ ɑ d ɑ m d ɡ ɑ r i
გადამდები	ɡ ɑ d ɑ m d ɛ b ɪ
გადამცემი	ɡ ɑ d ɑ m t s ɛ m ɪ
გადამწყვეტი	ɡ ɑ d ɑ m t sʼ qʼ v ɛ tʼ ɪ
გადარეული	ɡ ɑ d ɑ r ɛ u l i
გადასაწყვეტი	ɡ ɑ d ɑ s ɑ t sʼ qʼ v ɛ tʼ ɪ
გადასვლა	ɡ ɑ d ɑ s v l ɑ
გადატანილი	ɡ ɑ d ɑ tʼ ɑ n i l i
გადატვირთული	ɡ ɑ d ɑ tʼ v ɪ r tʰ u l ɪ
გადაწყვეტილება	ɡ ɑ d ɑ t sʼ qʼ v ɛ tʼ ɪ l ɛ b ɑ
გადაწყვიტა	ɡ ɑ d ɑ t sʼ qʼ v ɪ tʼ ɑ
გადაჭარბებულად	ɡ ɑ d ɑ t ʃʼ ɑ r b ɛ b u l ɑ d
გადაჭიმული	ɡ ɑ d ɑ t ʃʼ ɪ m u l ɪ
გადაჭრით	ɡ ɑ d ɑ t ʃʼ r ɪ tʰ
გადახდილი	ɡ ɑ d ɑ χ d ɪ l ɪ
გადახდის	ɡ ɑ d ɑ χ d ɪ s
გაერთიანებული	ɡ ɑ ɛ r tʰ i ɑ n ɛ b u l i
გავა	ɡ ɑ v ɑ
გავლენა	ɡ ɑ v l ɛ n ɑ
გავლენიანი	ɡ ɑ v l ɛ n ɪ ɑ n ɪ
გაზაფხული	ɡ ɑ z ɑ pʰ x u l i
გაზრდა	ɡ ɑ z r d ɑ
გაიგებს	ɡ ɑ ɪ ɡ ɛ b s
გაივლის	ɡ ɑ ɪ v l ɪ s
გაიზრდება	ɡ ɑ ɪ z r d ɛ b ɑ
გაისად	ɡ ɑ i s ɑ d
გაკეთებული	ɡ ɑ kʼ ɛ tʰ ɛ b u l i
გაკვეთილი	ɡ ɑ kʼ v ɛ tʰ i l i
გაკვირვებული	ɡ ɑ kʼ v ɪ r v ɛ b u l ɪ
გალერეა	ɡ ɑ l ɛ r ɛ ɑ
გამალებით	ɡ ɑ m ɑ l ɛ b ɪ tʰ
გამართული	ɡ ɑ m ɑ r tʰ u l i
გამარჯვება	ɡ ɑ m ɑ r d ʒ v ɛ b ɑ
გამეფებული	ɡ ɑ m ɛ pʰ ɛ b u l ɪ
გამო	ɡ ɑ m ɔ
გამოთქმული	ɡ ɑ m ɔ tʰ kʰ m u l ɪ
გამოითქმოდა	ɡ ɑ m ɔ ɪ tʰ kʰ m ɔ d ɑ
გამომწვევი	ɡ ɑ m ɔ m t sʼ v ɛ v ɪ
გამონაყარი	ɡ ɑ m ɔ n ɑ qʼ ɑ r ɪ
გამოსავალი	ɡ ɑ m ɔ s ɑ v ɑ l ɪ
გამოსაცდელი	ɡ ɑ m ɔ s ɑ t s d ɛ l i
გამოსახული	ɡ ɑ m ɔ s ɑ χ u l ɪ
გამოსვლას	ɡ ɑ m ɔ s v l ɑ s
გამოსვლით	ɡ ɑ m ɔ s v l ɪ tʰ
გამოსვლის	ɡ ɑ m ɔ s v l ɪ s
გამოუვიდა	ɡ ɑ m ɔ u v ɪ d ɑ
გამოუცდელი	ɡ ɑ m ɔ u t s d ɛ l i
გამოფენა	ɡ ɑ m ɔ pʰ ɛ n ɑ
გამოყენებითი	ɡ ɑ m ɔ qʼ ɛ n ɛ b ɪ tʰ ɪ
გამოყენებული	ɡ ɑ m ɔ qʼ ɛ n ɛ b u l i
გამოყოფილი	ɡ ɑ m ɔ qʼ ɔ pʰ ɪ l ɪ
გამოცდილება	ɡ ɑ m ɔ t s d i l ɛ b ɑ
გამოცდილი	ɡ ɑ m ɔ t s d ɪ l ɪ
გამოცემა	ɡ ɑ m ɔ t s ɛ m ɑ
გამოცემამ	ɡ ɑ m ɔ t s ɛ m ɑ m
გამოცემას	ɡ ɑ m ɔ t s ɛ m ɑ s
გამოცემის	ɡ ɑ m ɔ t s ɛ m ɪ s
