աա	ɑ ɑ
ամերիկահայ	ɑ m ɛ ɾ i k ɑ h ɑ j
ամերիկայի	ɑ m ɛ ɾ i k ɑ j i
ամերիկացի	ɑ m ɛ ɾ i k ɑ t͡sʰ i
ամէ	ɑ m ə ɛ
ամիս	ɑ m i s
ամիրյան	ɑ m i ɾ j ɑ n
ամն	ɑ m ə n ə
ամոթ	ɑ m ɔ tʰ
ամուսնացած	ɑ m u s n ɑ t͡sʰ ɑ t͡s
ամուր	ɑ m u ɾ
ամպ	ɑ m p
ամպրոպ	ɑ m p ɾ ɔ p
ամսագիր	ɑ m s ɑ ɡ i ɾ
ամսական	ɑ m s ɑ k ɑ n
ամսեկան	ɑ m s ɛ k ɑ n
այբբենարան	ɑ j bː ɛ n ɑ ɾ ɑ n
այդ	ɑ j d
այժմ	ɑ j ʒ ə m
այլ	ɑ j l
այլեւայլ	ɑ j l ɛ v ɑ j l
այլեւս	ɑ j l ɛ v ə s
այլընտրանք	ɑ j l ə n t ɾ ɑ ŋ kʰ
այլընտրանքային	ɑ j l ə n t ɾ ɑ ŋ kʰ ɑ j i n
այծ	ɑ j t͡s
այն	ɑ j n
այնուամենայնիվ	ɑ j n u ɑ m ɛ n ɑ j n i v
այնուհետեւ	ɑ j n u h ɛ t ɛ v
այնտեղ	ɑ j n t ɛ ʁ
այս	ɑ j s
այսինքն	ɑ j s i ŋ kʰ ə n
այսու	ɑ j s u
այսուհետեւ	ɑ j s u h ɛ t ɛ v
այստեղ	ɑ j s t ɛ ʁ
այսօր	ɑ j s ɔ ɾ
այվազյան	ɑ ɪ̯ v ɑ z ɪ̯ ɑ n
այր	ɑ j ɾ
այրել	ɑ j ɾ ɛ l
այրի	ɑ j ɾ i
այրվել	ɑ j ɾ v ɛ l
այց	ɑ j t sʰ
այցելել	ɑ j t sʰ ɛ l ɛ l
այցելություն	ɑ j t͡sʰ ɛ l u tʰ j u n
անագորույն	ɑ n ɑ ɡ ɔ ɾ u j n
անակնկալ	ɑ n ɑ k ə ŋ k ɑ l
անաղարտ	ɑ n ɑ ʁ ɑ ɾ t
անարատ	ɑ n ɑ ɾ ɑ t
անարդար	ɑ n ɑ ɾ tʰ ɑ ɾ
անարդարություն	ɑ n ɑ ɾ tʰ ɑ ɾ u tʰ j u n
անբնակ	ɑ n b ə n ɑ k
անգլերեն	ɑ ŋ ɡ l ɛ ɾ ɛ n
անգլիական	ɑ ŋ ɡ l j ɑ k ɑ n
անգնահատելի	ɑ ŋ ɡ ə n ɑ h ɑ t ɛ l i
անգործ	ɑ ŋ ɡ ɔ ɾ t͡s
անդ	ɑ n d
անդամ	ɑ n tʰ ɑ m
անդրեաս	ɑ n d ɾ ɛ ɑ s
անդրշիրիմյան	ɑ n d ə ɾ ʃ i ɾ i m j ɑ n
անել	ɑ n ɛ l
անելիք	ɑ n ɛ l i kʰ
աներ	ɑ n ɛ ɾ
անզոր	ɑ n z ɔ ɾ
անընդհատ	ɑ n ə n d h ɑ t
անժելա	ɑ n ʒ ɛ l ɑ
անիծյալ	ɑ n i t͡s j ɑ l
անծանոթ	ɑ n t͡s ɑ n ɔ tʰ
անկախ	ɑ ŋ k ɑ χ
անկաշկանդ	ɑ ŋ k ɑ ʃ k ɑ n d
անկարա	ɑ ŋ k ɑ ɾ ɑ
անկյուն	ɑ ŋ k j u n
անկում	ɑ n k u m
անհամբեր	ɑ n h ɑ m pʰ ɛ ɾ
անհանգիստ	ɑ n h ɑ ŋ ɡ i s t
անհապաղ	ɑ n h ɑ p ɑ ʁ
անհավանական	ɑ n h ɑ v ɑ n ɑ k ɑ n
անհատ	ɑ n h ɑ t
անհատականություն	ɑ n h ɑ t ɑ k ɑ n u tʰ j u n
անհեթեթ	ɑ n h ɛ tʰ ɛ tʰ
անհետ	ɑ n h ɛ t
անհերքելի	ɑ n h ɛ ɾ kʰ ɛ l i
անհնար	ɑ n h ə n ɑ ɾ
անհույս	ɑ n h u ɪ̯ s
անձ	ɑ n d͡z
անձավ	ɑ n d͡z ɑ v
անձեռոց	ɑ n d͡z ɛ r ɔ t͡sʰ
անձեռոցիկ	ɑ n d͡z ɛ r ɔ t͡sʰ i k
անձինք	ɑ n d͡z i ŋ kʰ
անձիք	ɑ n d͡z i kʰ
անձնագիր	ɑ n d z n ɑ ɡ i ɾ
անձրեւ	ɑ n d͡z ɾ ɛ v
անմահ	ɑ n m ɑ h
անմարդաբնակ	ɑ n m ɑ ɾ tʰ ɑ b ə n ɑ k
անմեղ	ɑ n m ɛ ʁ
անմեռ	ɑ n m ɛ r
անմիջականորեն	ɑ n m i t͡ʃʰ ɑ k ɑ n ɔ ɾ ɛ n
անմիջապես	ɑ n m i t͡ʃʰ ɑ p ɛ s
անմիտ	ɑ n m i t
անշարժ	ɑ n ʃ ɑ ɾ ʒ
անոթի	ɑ n o tʰ i
անորոշ	ɑ n ɔ ɾ ɔ ʃ
անորոշություն	ɑ n ɔ ɾ ɔ ʃ u tʰ j u n
անուն	ɑ n u n
անուշ	ɑ n u ʃ
անուշավան	ɑ n u ʃ ɑ v ɑ n
անպատասխանատու	ɑ n p ɑ t ɑ s χ ɑ n ɑ t u
անպիտան	ɑ n p i t ɑ n
անջատել	ɑ n d͡ʒ ɑ t ɛ l
անսովոր	ɑ n s o v o ɾ
անվադող	ɑ n v ɑ d ɔ ʁ
անվանի	ɑ n v ɑ n i
անվավեր	ɑ n v ɑ v ɛ ɾ
անվտանգ	ɑ n v ə t ɑ ŋ ɡ
անվտանգության	ɑ n v ə t ɑ ŋ ɡ u tʰ j ɑ n
անվտանգություն	ɑ n v ə t ɑ ŋ ɡ u tʰ j u n
անվրդով	ɑ n v ə ɾ tʰ ɔ v
անտանելի	ɑ n t ɑ n ɛ l i
անտեղյակ	ɑ n t ɛ ʁ j ɑ k
անտիկ	ɑ n t i k
անտիպ	ɑ n t i p
անտուն	ɑ n t u n
անց	ɑ n t͡sʰ
անցած	ɑ n t͡sʰ ɑ t͡s
անցկացնել	ɑ n t͡sʰ k ɑ t͡sʰ n ɛ l
անցյալ	ɑ n t͡sʰ j ɑ l
անցնել	ɑ n t͡sʰ n ɛ l
անցք	ɑ n t͡sʰ kʰ
անօգնական	ɑ n ɔ kʰ n ɑ k ɑ n
աշխատակազմ	ɑ ʃ χ ɑ t ɑ k ɑ z m
աշխատակից	ɑ ʃ χ ɑ t ɑ k i t͡sʰ
աշխարհ	ɑ ʃ χ ɑ ɾ
աշխարհաքաղաքական	ɑ ʃ χ ɑ ɾ ɑ kʰ ɑ ʁ ɑ kʰ ɑ k ɑ n
աշխեն	ɑ ʃ χ ɛ n
աշխույժ	ɑ ʃ χ u j ʒ
աշոտ	ɑ ʃ ɔ t
աշուղ	ɑ ʃ u ʁ
աչալուրջ	ɑ t͡ʃʰ ɑ l u ɾ d͡ʒ
աչք	ɑ t͡ʃʰ kʰ
ապագա	ɑ p ɑ ɡ ɑ
ապակի	ɑ p ɑ k i
ապահով	ɑ p ɑ h ɔ v
ապահովել	ɑ p ɑ h ɔ v ɛ l
ապահովում	ɑ p ɑ h ɔ v u m
ապահովվել	ɑ p ɑ h ɔ vː ɛ l
ապաստան	ɑ p ɑ s t ɑ n
ապավինել	ɑ p ɑ v i n ɛ l
ապարան	ɑ p ɑ ɾ ɑ n
ապարատ	ɑ p ɑ ɾ ɑ t
ապացույց	ɑ p ɑ t͡sʰ u j t͡sʰ
ապացուցել	ɑ p ɑ t͡sʰ u t͡sʰ ɛ l
ապացուցում	ɑ p ɑ t͡sʰ u t͡sʰ u m
ապեր	ɑ p ɛ ɾ
ապերախտ	ɑ p ɛ ɾ ɑ χ t
ապհ	ɑ p ə h ə
ապշել	ɑ p ʃ ɛ l
ապուշ	ɑ p u ʃ
ապստամբ	ɑ pʰ s t ɑ m b
ապտակ	ɑ p t ɑ k
ապրանք	ɑ p ɾ ɑ ŋ kʰ
ապրիլյան	ɑ p ɾ i l j ɑ n
աջ	ɑ t͡ʃʰ
աջակցել	ɑ t͡ʃʰ ɑ k t͡sʰ ɛ l
աջարական	ɑ d ʒ ɑ ɾ ɑ k ɑ n
առ	ɑ r
առագաստ	ɑ r ɑ ɡ ɑ s t
առած	ɑ r ɑ t͡s
առակ	ɑ r ɑ k
առանց	ɑ r ɑ n t͡sʰ
առաջ	ɑ r ɑ t͡ʃʰ
առաջադեմ	ɑ r ɑ t͡ʃʰ ɑ d ɛ m
առաջադիմել	ɑ r ɑ t͡ʃʰ ɑ d i m ɛ l
առաջադիմություն	ɑ r ɑ t͡ʃʰ ɑ d i m u tʰ j u n
առաջադրանք	ɑ r ɑ t͡ʃʰ ɑ d ɾ ɑ ŋ kʰ
առաջավոր	ɑ r ɑ t͡ʃʰ ɑ v ɔ ɾ
առաջատար	ɑ r ɑ t͡ʃʰ ɑ t ɑ ɾ
առաջարկ	ɑ r ɑ t͡ʃʰ ɑ ɾ k
առաջարկություն	ɑ r ɑ t͡ʃʰ ɑ ɾ k u t͡sʰ j u n
առաջընթաց	ɑ r ɑ t͡ʃʰ ə n tʰ ɑ t͡sʰ
առաջիկա	ɑ r ɑ t͡ʃʰ i k ɑ
առաջին	ɑ r ɑ t͡ʃʰ i n
առաջնորդ	ɑ r ɑ t͡ʃʰ n ɔ ɾ tʰ
առասպել	ɑ r ɑ s p ɛ l
առավել	ɑ r ɑ v ɛ l
առավելագույն	ɑ r ɑ v ɛ l ɑ ɡ u j n
առավելություն	ɑ r ɑ v ɛ l u tʰ j u n
առավոտ	ɑ r ɑ v ɔ t
առատ	ɑ r ɑ t
առաքելյան	ɑ r ɑ kʰ ɛ l j ɑ n
առաքելություն	ɑ r ɑ kʰ ɛ l u tʰ j u n
առաքինի	ɑ r ɑ kʰ i n i
առիթ	ɑ r i tʰ
առկա	ɑ r k ɑ
առկախ	ɑ r k ɑ χ
առձեռն	ɑ r d͡z ɛ r ə n
առյուծ	ɑ r j u t͡s
առնական	ɑ r n ɑ k ɑ n
առնանդամ	ɑ r n ɑ n tʰ ɑ m
առնել	ɑ r n ɛ l
առնո	ɑ r n o
առնչություն	ɑ r ə n t͡ʃʰ u tʰ j u n
առնվազն	ɑ r n ə v ɑ z n
առողջ	ɑ r ɔ χ t͡ʃʰ
առողջանալ	ɑ r ɔ χ t͡ʃʰ ɑ n ɑ l
առույգ	ɑ r u j ɡ
առջեւ	ɑ r t͡ʃʰ ɛ v
ասած	ɑ s ɑ t͡s
ասատրյան	ɑ s ɑ t ə ɾ j ɑ n
ասացվածք	ɑ s ɑ t͡sʰ v ɑ t͡s kʰ
ասել	ɑ s ɛ l
ասեղ	ɑ s ɛ ʁ
ասիական	ɑ s j ɑ k ɑ n
ասորերեն	ɑ s ɔ ɾ ɛ ɾ ɛ n
ասորի	ɑ s ɔ ɾ i
ասոցիացիա	ɑ s ɔ t͡sʰ j ɑ t͡sʰ j ɑ
ասուլիս	ɑ s u l i s
ասպարեզ	ɑ s p ɑ ɾ ɛ z
ասպետ	ɑ s p ɛ t
աստիճան	ɑ s t i t͡ʃ ɑ n
աստիճաններ	ɑ s t i t͡ʃ ɑ nː ɛ ɾ
աստղ	ɑ s t ə ʁ
աստղիկ	ɑ s t ʁ i k
աստված	ɑ s t v ɑ t͡s
աստվածաբանական	ɑ s t v ɑ t͡s ɑ b ɑ n ɑ k ɑ n
աստվածատուր	ɑ s t v ɑ t͡s ɑ t u ɾ
աստրախան	ɑ s t ɾ ɑ χ ɑ n
ասք	ɑ s kʰ
ավագ	ɑ v ɑ kʰ
ավագանի	ɑ v ɑ kʰ ɑ n i
ավազ	ɑ v ɑ z
ավանակ	ɑ v ɑ n ɑ k
ավանդական	ɑ v ɑ n d ɑ k ɑ n
ավար	ɑ v ɑ ɾ
ավարտ	ɑ v ɑ ɾ t
ավարտել	ɑ v ɑ ɾ t ɛ l
ավարտում	ɑ v ɑ ɾ t u m
ավարտվել	ɑ v ɑ ɾ t v ɛ l
ավել	ɑ v ɛ l
ավելացնել	ɑ v ɛ l ɑ t͡sʰ n ɛ l
ավելի	ɑ v ɛ l i
ավելորդ	ɑ v ɛ l ɔ ɾ tʰ
ավետ	ɑ v ɛ t
ավետարան	ɑ v ɛ t ɑ ɾ ɑ n
ավետիսյան	ɑ v ɛ t i s j ɑ n
ավետիք	ɑ v ɛ t i kʰ
ավերել	ɑ v ɛ ɾ ɛ l
ավտոբուս	ɑ f t ɔ b u s
ավտոմեքենա	ɑ f t ɔ m ɛ kʰ ɛ n ɑ
ավտոտնակ	ɑ f t ɔ t ə n ɑ k
ատամ	ɑ t ɑ m
ատամնաբույժ	ɑ t ɑ m n ɑ b u j ʒ
ատամնային	ɑ t ɑ m n ɑ j i n
ատամները	ɑ t ɑ m n ɛ ɾ ə
ատելություն	ɑ t ɛ l u tʰ j u n
ատենախոսություն	ɑ t ɛ n ɑ χ ɔ s u tʰ j u n
ատյան	ɑ t j ɑ n
ատոմ	ɑ t o m
ատրճանակ	ɑ t ə ɾ t͡ʃ ɑ n ɑ k
ար	ɑ ɾ
արաբ	ɑ ɾ ɑ b
արաբական	ɑ ɾ ɑ b ɑ k ɑ n
արագ	ɑ ɾ ɑ ɡ
արած	ɑ ɾ ɑ t͡s
արական	ɑ ɾ ɑ k ɑ n
արամ	ɑ ɾ ɑ m
արամյան	ɑ ɾ ɑ m j ɑ n
արայիկ	ɑ ɾ ɑ j i k
արարած	ɑ ɾ ɑ ɾ ɑ t͡s
արարատ	ɑ ɾ ɑ ɾ ɑ t
արարել	ɑ ɾ ɑ ɾ ɛ l
արարողություն	ɑ ɾ ɑ ɾ ɔ ʁ u tʰ j u n
արարք	ɑ ɾ ɑ ɾ kʰ
արաքս	ɑ ɾ ɑ kʰ s
արգավանդ	ɑ ɾ ɡ ɑ v ɑ n d
արգելել	ɑ ɾ kʰ ɛ l ɛ l
արգելք	ɑ ɾ kʰ ɛ l kʰ
արդար	ɑ ɾ tʰ ɑ ɾ
արդարադատություն	ɑ ɾ tʰ ɑ ɾ ɑ d ɑ t u tʰ j u n
արդարացի	ɑ ɾ tʰ ɑ ɾ ɑ t͡sʰ i
արդարացնել	ɑ ɾ tʰ ɑ ɾ ɑ t͡sʰ n ɛ l
արդարություն	ɑ ɾ tʰ ɑ ɾ u tʰ j u n
արդիականացում	ɑ ɾ d i j ɑ k ɑ n ɑ t͡sʰ u m
արդյունավետ	ɑ ɾ tʰ j u n ɑ v ɛ t
արդյունք	ɑ ɾ tʰ j u ŋ kʰ
արդուկ	ɑ ɾ d u k
արեգակնային	ɑ ɾ ɛ ɡ ɑ k n ɑ j i n
արեւելյան	ɑ ɾ ɛ v ɛ l j ɑ n
արեւմտյան	ɑ ɾ ɛ v m ə t j ɑ n
արթնանալ	ɑ ɾ tʰ n ɑ n ɑ l
արթնացնել	ɑ ɾ tʰ n ɑ t͡sʰ n ɛ l
արթուն	ɑ ɾ tʰ u n
արթուր	ɑ ɾ tʰ u ɾ
արժանի	ɑ ɾ ʒ ɑ n i
արժենալ	ɑ ɾ ʒ ɛ n ɑ l
արժեք	ɑ ɾ ʒ ɛ kʰ
արժույթ	ɑ ɾ ʒ u j tʰ
արի	ɑ ɾ i
արիություն	ɑ ɾ i j u tʰʲ u n
արխիվ	ɑ ɾ χ i v
արծաթ	ɑ ɾ t͡s ɑ tʰ
արծաթի	ɑ ɾ t͡s ɑ tʰ i
արհեստ	ɑ ɾ v ɛ s t
արհեստական	ɑ ɾ h ɛ s t ɑ k ɑ n
արհեստավոր	ɑ ɾ h ɛ s t ɑ v ɔ ɾ
արձագանք	ɑ ɾ d͡z ɑ ɡ ɑ ŋ kʰ
արձագանքել	a ɾ d͡z a ɡ a n kʰ ɛ l
արմ	ɑ ɾ m
արմավիր	ɑ ɾ m ɑ v i ɾ
արմեն	ɑ ɾ m ɛ n
արմենակ	ɑ ɾ m ɛ n ɑ k
արմին	ɑ ɾ m i n
արյուն	ɑ ɾ j u n
արշալույս	ɑ ɾ ʃ ɑ l u j s
արշակունյաց	ɑ ɾ ʃ ɑ k u n j ɑ t͡sʰ
արշավ	ɑ ɾ ʃ ɑ v
արշավանք	ɑ ɾ ʃ ɑ v ɑ ŋ kʰ
արոնյան	ɑ ɾ ɔ n j ɑ n
արու	ɑ ɾ u
արջ	ɑ ɾ t͡ʃʰ
արսեն	ɑ ɾ s ɛ n
արսենի	ɑ ɾ s ɛ n i
արվեստ	ɑ ɾ v ɛ s t
արվեստագետ	ɑ ɾ v ɛ s t ɑ ɡ ɛ t
արտագաղթ	ɑ ɾ t ɑ ɡ ɑ χ tʰ
արտագաղթել	ɑ ɾ t ɑ ɡ ɑ χ tʰ ɛ l
արտադրող	ɑ ɾ t ɑ d ɾ ɔ ʁ
արտադրություն	ɑ ɾ t ɑ d ɾ u tʰ j u n
արտահանում	ɑ ɾ t ɑ h ɑ n u m
արտահերթ	ɑ ɾ t ɑ h ɛ ɾ tʰ
արտաշատ	ɑ ɾ t ɑ ʃ ɑ t
արտասահման	ɑ ɾ t ɑ s ɑ h m ɑ n
արտասովոր	ɑ ɾ t ɑ s ɔ v ɔ ɾ
արտասուք	ɑ ɾ t ɑ s u kʰ
արտասվել	ɑ ɾ t ɑ s v ɛ l
արտարժույթ	ɑ ɾ t ɑ ɾ ʒ u j tʰ
արտոնագիր	ɑ ɾ t ɔ n ɑ ɡ i ɾ
արցախյան	ɑ ɾ t͡sʰ ɑ χ j ɑ n
արցունք	ɑ ɾ t͡sʰ u ŋ kʰ
արփի	ɑ ɾ pʰ i
արքա	ɑ ɾ kʰ ɑ
արքայադուստր	ɑ ɾ kʰ ɑ j ɑ d u s t ə ɾ
արքայազն	ɑ ɾ kʰ ɑ j ɑ z ə n
արքունի	ɑ ɾ kʰ u n i
ափ	ɑ pʰ
ափի	ɑ pʰ i
ափսոս	ɑ pʰ s ɔ s
աքիլլես	ɑ kʰ i lː ɛ s
աֆղանստան	ɑ f ʁ ɑ n ə s t ɑ n
աֆրիկա	ɑ f ɾ i k ɑ
բաբայան	b ɑ b ɑ j ɑ n
բաբաջանյան	b ɑ b ɑ d͡ʒ ɑ n j ɑ n
բազա	b ɑ z ɑ
բազազ	b ɑ z ɑ z
բազալտ	b ɑ z ɑ l t
բազմերանգ	b ɑ z m ɛ ɾ ɑ ŋ ɡ
բազմոց	b ɑ z m ɔ t͡sʰ
բազմություն	b ɑ z m u t sʰ j u n
բազում	b ɑ z u m
բաթումի	b ɑ tʰ u m i
բաժակ	b ɑ ʒ ɑ k
բաժանորդ	b ɑ ʒ ɑ n ɔ ɾ tʰ
բաժանում	b ɑ ʒ ɑ n u m
բաժին	b ɑ ʒ i n
բալիկ	b ɑ l i k
բախում	b ɑ χ u m
բախտ	b ɑ χ t
բակ	b ɑ k
բակո	b ɑ k ɔ
բաղդասարյան	b ɑ ʁ d ɑ s ɑ ɾ j ɑ n
բաճկոն	b ɑ t͡ʃ k ɔ n
բամբակ	b ɑ m b ɑ k
բայց	b ɑ j t͡sʰ
բան	b ɑ n
բանակ	b ɑ n ɑ k
բանաձեւ	b ɑ n ɑ d z ɛ v
բանան	b ɑ n ɑ n
բանաստեղծ	b ɑ n ɑ s t ɛ χ t͡s
բանաստեղծություն	b ɑ n ɑ s t ɛ ʁ t͡s u tʰ j u n
բանավեճ	b ɑ n ɑ v ɛ t͡ʃ
բանբեր	b ɑ n b ɛ ɾ
բանեցնել	b ɑ n ɛ t͡sʰ n ɛ l
բանկ	b ɑ n k
բանկային	b ɑ ŋ k ɑ j i n
բանսարկու	b ɑ n s ɑ ɾ k u
բանվոր	b ɑ n v o ɾ
բանտ	b ɑ n t
բանտարկություն	b ɑ n t ɑ ɾ k u t sʰ j u n
բաշխել	b ɑ ʃ χ ɛ l
բառապաշար	b ɑ r ɑ p ɑ ʃ ɑ ɾ
բառարան	b ɑ r ɑ ɾ ɑ n
բառացանկ	b ɑ r ɑ t sʰ ɑ n k
բառացի	b ɑ r ɑ t͡sʰ i
բավական	b ɑ v ɑ k ɑ n
բավարար	b ɑ v ɑ ɾ ɑ ɾ
բավարարել	b ɑ v ɑ ɾ ɑ ɾ ɛ l
բարակ	b ɑ ɾ ɑ k
բարաք	b ɑ ɾ ɑ kʰ
բարգավաճ	b ɑ ɾ ɡ ɑ v ɑ t͡ʃ
բարդացնել	b ɑ ɾ tʰ ɑ t͡sʰ n ɛ l
բարեգործական	b ɑ ɾ ɛ ɡ ɔ ɾ t͡s ɑ k ɑ n
բարեգործություն	b ɑ ɾ ɛ ɡ ɔ ɾ t͡s u tʰ j u n
բարելավել	b ɑ ɾ ɛ l ɑ v ɛ l
բարեկենդան	b ɑ ɾ ɛ k ɛ n tʰ ɑ n
բարեւ	b ɑ ɾ ɛ v
բարձ	b ɑ ɾ t͡sʰ
բարձր	b ɑ ɾ t͡sʰ ə ɾ
բարձրագույն	b ɑ ɾ t͡sʰ ɾ ɑ ɡ u j n
բարձրաձայն	b ɑ ɾ t͡sʰ ɾ ɑ d͡z ɑ j n
բարձրանալ	b ɑ ɾ t͡sʰ ɾ ɑ n ɑ l
բարձրացնել	b ɑ ɾ t͡sʰ ɾ ɑ t͡sʰ n ɛ l
